label,count
交通局,1619
教育局,1478
警察局,1218
社會局,1095
都市發展局建築管理工程處,995
衛生局,965
都市發展局,963
體育局,845
文化局,729
民政局,627
產業發展局,623
環境保護局,594
研究發展考核委員會,582
工務局公園路燈工程管理處,549
工務局新建工程處,523
臺北大眾捷運股份有限公司,511
秘書處,497
觀光傳播局,490
消防局,476
財政局,455
勞動局,451
資訊局,443
地政局,407
工務局水利工程處,396
產業發展局市場處,381
捷運工程局,351
產業發展局動物保護處,351
人事處,338
法務局,317
工務局,293
都市發展局都市更新處,248
主計處,238
臺北自來水事業處,229
政風處,221
工務局大地工程處,212
都市計畫委員會,209
工務局衛生下水道工程處,204
原住民族事務委員會,199
客家事務委員會,187
青年局,186
公務人員訓練處,181
臺北翡翠水庫管理局,169
兵役局,168
產業發展局商業處,161
區公所,82
